index, 0000000062, temp, 49.200, firstframe, 005.041, 16frames_time, 099.568, imgproc_time, 087.843, 
index, 0000000063, temp, 49.200, firstframe, 001.955, 16frames_time, 095.923, imgproc_time, 085.887, 
index, 0000000064, temp, 49.200, firstframe, 001.952, 16frames_time, 096.793, imgproc_time, 085.891, 
index, 0000000065, temp, 49.200, firstframe, 004.917, 16frames_time, 099.383, imgproc_time, 085.928, 
index, 0000000066, temp, 49.200, firstframe, 002.980, 16frames_time, 095.340, imgproc_time, 087.840, 
index, 0000000067, temp, 49.200, firstframe, 002.902, 16frames_time, 097.574, imgproc_time, 084.911, 
index, 0000000068, temp, 49.200, firstframe, 004.854, 16frames_time, 099.447, imgproc_time, 086.863, 
index, 0000000069, temp, 49.200, firstframe, 007.309, 16frames_time, 100.873, imgproc_time, 087.871, 
index, 0000000070, temp, 49.200, firstframe, 003.044, 16frames_time, 097.896, imgproc_time, 085.916, 
index, 0000000071, temp, 49.200, firstframe, 005.132, 16frames_time, 101.031, imgproc_time, 085.887, 
index, 0000000072, temp, 49.200, firstframe, 003.934, 16frames_time, 096.025, imgproc_time, 087.844, 
index, 0000000073, temp, 49.200, firstframe, 003.114, 16frames_time, 097.571, imgproc_time, 086.864, 
index, 0000000074, temp, 49.200, firstframe, 004.933, 16frames_time, 099.679, imgproc_time, 085.888, 
index, 0000000075, temp, 49.200, firstframe, 006.961, 16frames_time, 101.644, imgproc_time, 086.867, 
index, 0000000076, temp, 49.200, firstframe, 002.842, 16frames_time, 098.089, imgproc_time, 085.888, 
index, 0000000077, temp, 49.200, firstframe, 004.869, 16frames_time, 099.620, imgproc_time, 084.941, 
index, 0000000078, temp, 49.200, firstframe, 007.086, 16frames_time, 101.105, imgproc_time, 088.816, 
index, 0000000079, temp, 49.200, firstframe, 002.928, 16frames_time, 097.057, imgproc_time, 085.918, 
index, 0000000080, temp, 49.200, firstframe, 005.778, 16frames_time, 100.055, imgproc_time, 084.914, 
index, 0000000081, temp, 49.200, firstframe, 001.952, 16frames_time, 096.675, imgproc_time, 085.917, 
index, 0000000082, temp, 49.200, firstframe, 003.971, 16frames_time, 097.895, imgproc_time, 084.944, 
index, 0000000083, temp, 49.200, firstframe, 006.215, 16frames_time, 100.739, imgproc_time, 084.917, 
index, 0000000084, temp, 49.200, firstframe, 001.855, 16frames_time, 096.369, imgproc_time, 085.887, 
index, 0000000085, temp, 49.200, firstframe, 004.057, 16frames_time, 098.081, imgproc_time, 088.819, 
index, 0000000086, temp, 49.200, firstframe, 007.119, 16frames_time, 100.959, imgproc_time, 085.887, 
index, 0000000087, temp, 49.200, firstframe, 002.928, 16frames_time, 098.015, imgproc_time, 083.936, 
index, 0000000088, temp, 49.200, firstframe, 005.983, 16frames_time, 099.884, imgproc_time, 087.839, 
index, 0000000089, temp, 49.200, firstframe, 001.952, 16frames_time, 096.021, imgproc_time, 085.894, 
index, 0000000090, temp, 49.200, firstframe, 004.062, 16frames_time, 098.339, imgproc_time, 087.868, 
index, 0000000091, temp, 49.200, firstframe, 006.831, 16frames_time, 100.757, imgproc_time, 087.843, 
index, 0000000092, temp, 49.200, firstframe, 002.840, 16frames_time, 097.268, imgproc_time, 087.901, 
index, 0000000093, temp, 49.200, firstframe, 005.828, 16frames_time, 100.695, imgproc_time, 085.917, 
index, 0000000094, temp, 49.200, firstframe, 001.955, 16frames_time, 095.460, imgproc_time, 089.792, 
index, 0000000095, temp, 49.200, firstframe, 004.890, 16frames_time, 098.226, imgproc_time, 083.966, 
